CommentId,VideoId,Text,text_clean,text_processed,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism,IsAnyToxic
Ugg2KwwX0V8-aXgCoAEC,04kJtp6pVXI,"If only people would just take a step back and not make this case about them, because it wasn't about anyone except the two people in that situation.  To lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation.  The guy in this video is heavily emotional and hyped up and wants to be heard, and when he gets heard he just presses more and more.  He was never out to have a reasonable discussion.  Kudos to the Smerconish for keeping level the whole time and letting Masri make himself out to be a fool.  How dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate.  By the way, since when did police brutality become an epidemic?  I wish everyone would just stop pretending like they were there and they knew EXACTLY what was going on, because there's no measurable amount of people that honestly witnessed this incident, so none of us have a clue on which way this whole issue should have swung.  The grand jury were the most informed, we have to trust the majority rule was the right course of action and let it be.  Also, thank you to the 99.999% of police officers in America that actually serve & protect, even if you're a bit of a jerk when you pull me over, I respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions.  People hate police until they need an officer or two around in an emergency.",if only people would just take a step back and not make this case about them because it wasn't about anyone except the two people in that situation to lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation the guy in this video is heavily emotional and hyped up and wants to be heard and when he gets heard he just presses more and more he was never out to have a reasonable discussion kudos to the smerconish for keeping level the whole time and letting masri make himself out to be a fool how dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate by the way since when did police brutality become an epidemic i wish everyone would just stop pretending like they were there and they knew exactly what was going on because there's no measurable amount of people that honestly witnessed this incident so none of us have a clue on which way this whole issue should have swung the grand jury were the most informed we have to trust the majority rule was the right course of action and let it be also thank you to the of police officers in america that actually serve protect even if you're a bit of a jerk when you pull me over i respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions people hate police until they need an officer or two around in an emergency,people step case people situation lump mess matter hand kind protest selfish rational thought investigation guy heavily emotional hype want hear hear press reasonable discussion kudo smerconish level time let masri fool dare tear city protest dishonor entire incident hate way police brutality epidemic wish stop pretend like know exactly measurable people honestly witness incident clue way issue swing grand jury informed trust majority rule right course action let thank police officer america actually serve protect bit jerk pull respect job know people pout hold accountable action people hate police need officer emergency,False,False,False,False,False,False,False,False,False,False,False,False,0
Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Law enforcement is not trained to shoot to apprehend.  They are trained to shoot to kill.  And I thank Wilson for killing that punk bitch.,law enforcement is not trained to shoot to apprehend they are trained to shoot to kill and i thank wilson for killing that punk bitch,law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch,True,True,False,False,False,False,False,False,False,False,False,False,1
Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,"
Dont you reckon them 'black lives matter' banners being held by white cunts is  kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.",dont you reckon them 'black lives matter' banners being held by white cunts is kinda patronizing and ironically racist could they have not come up with somethin better or is it just what white folks do to give them selves pride 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist its fuckin daft man,reckon black life matter banner hold white cunt kinda patronizing ironically racist come somethin white folk self pride ooo look m nice black people race actually world pussyfootin fear racist fuckin daft man,True,True,False,False,True,False,False,False,False,False,False,False,1
Ugg7Gd006w1MPngCoAEC,04kJtp6pVXI,"There are a very large number of people who do not like police officers. They are called Criminals and its the reason we have police officers. The fact that Criminals do not like police officers is a testament to the good work that police officers do in protecting the public. When our children or our family are in danger, we do not hessitate to call for help, and we call the Police. Its about time people stopped complaining and started to give the Police some respect for the hard work and dedication that often requires them to put their lives on the line, to serve the public.",there are a very large number of people who do not like police officers they are called criminals and its the reason we have police officers the fact that criminals do not like police officers is a testament to the good work that police officers do in protecting the public when our children or our family are in danger we do not hessitate to call for help and we call the police its about time people stopped complaining and started to give the police some respect for the hard work and dedication that often requires them to put their lives on the line to serve the public,large number people like police officer criminal reason police officer fact criminal like police officer testament good work police officer protect public child family danger hessitate help police time people stop complain start police respect hard work dedication require life line serve public,False,False,False,False,False,False,False,False,False,False,False,False,0
Ugg8FfTbbNF8IngCoAEC,04kJtp6pVXI,"The Arab dude is absolutely right, he should have not been shot 6 extra time. Shoot him once if hes attacking you and that would stop his attack. Shoot him twice if he's still attacking you, but six times? That is shoot to kill in my opinion. ",the arab dude is absolutely right he should have not been shot extra time shoot him once if hes attacking you and that would stop his attack shoot him twice if he's still attacking you but six times that is shoot to kill in my opinion,arab dude absolutely right shoot extra time shoot s attack stop attack shoot twice attack time shoot kill opinion,False,False,False,False,False,False,False,False,False,False,False,False,0
Ugg9a6FtoXdxmXgCoAEC,04kJtp6pVXI,here people his facebook is https://www.facebook.com/bassem.masri.520 he has ties with isis and other terrorist groups he is a muslim extremist ,here people his facebook is he has ties with isis and other terrorist groups he is a muslim extremist,people facebook tie isis terrorist group muslim extremist,True,False,False,False,False,True,False,False,False,False,True,False,1
Ugga9KzkNDGvlXgCoAEC,04kJtp6pVXI,"Check out this you tube post. ""Black man goes on an epic rant against Ferguson rioters.""

Although his message is delivered with childish, cartoon-ish emotions.... He is one of the very few African American's who gets it.",check out this you tube post black man goes on an epic rant against ferguson rioters although his message is delivered with childish cartoon ish emotions he is one of the very few african american's who gets it,check tube post black man epic rant ferguson rioter message deliver childish cartoon ish emotion african american,True,False,False,False,False,True,True,False,False,False,False,False,1
UggBlIXoph7p-3gCoAEC,04kJtp6pVXI,I would LOVE to see this pussy go to Staten Island and spit on a cop. I would LOVE to see it happen. Mike Brown was a strong arm thug and people are burning Ferguson down. Eric Garnier did nothing wrong and was choked to death. No protest on mafia controlled Staten Island. No burning cars. Nothing. ,i would love to see this pussy go to staten island and spit on a cop i would love to see it happen mike brown was a strong arm thug and people are burning ferguson down eric garnier did nothing wrong and was choked to death no protest on mafia controlled staten island no burning cars nothing,love pussy staten island spit cop love happen mike brown strong arm thug people burn ferguson eric garnier wrong choke death protest mafia control staten island burn car,True,True,False,False,True,True,True,False,False,False,False,False,1
UggD1aYSn7KOR3gCoAEC,04kJtp6pVXI,I agree with the protestor.,i agree with the protestor,agree protestor,False,False,False,False,False,False,False,False,False,False,False,False,0
UggGm8a1fu8brngCoAEC,04kJtp6pVXI,mike browns father was made to say that boooshit,mike browns father was made to say that boooshit,mike browns father boooshit,True,True,False,False,True,False,False,False,False,False,False,False,1
UggguNlx1Uu89HgCoAEC,04kJtp6pVXI,the guy on the right is so on point. don't judge on his speaking abilities but judge him on his messege! you racist fucks can suck my dick. and like always the media focusing on the thing that don't matter. CNN is shit.,the guy on the right is so on point don't judge on his speaking abilities but judge him on his messege you racist fucks can suck my dick and like always the media focusing on the thing that don't matter cnn is shit,guy right point judge speak ability judge messege racist fuck suck dick like medium focus thing matter cnn shit,True,True,False,False,True,False,False,False,False,False,False,False,1
UggHKcxZ-FvsJ3gCoAEC,04kJtp6pVXI,"moral of the story, don't reach for a cops gun because you're probably gunna get shot, white or black",moral of the story don't reach for a cops gun because you're probably gunna get shot white or black,moral story reach cops gun probably gunna shoot white black,False,False,False,False,False,False,False,False,False,False,False,False,0
UggLbJp619j8BHgCoAEC,04kJtp6pVXI,Masri is about as close as you can get to ISIS in America.  ,masri is about as close as you can get to isis in america,masri close isis america,True,True,False,False,False,False,False,False,False,False,False,False,1
UggMY2Oggks5LngCoAEC,04kJtp6pVXI,We all know with the chimpers there is no compassion in their mud pumping hearts. ,we all know with the chimpers there is no compassion in their mud pumping hearts,know chimper compassion mud pump heart,True,False,False,False,False,True,True,False,False,False,False,False,1
UggNrFQh7L5JuXgCoAEC,04kJtp6pVXI,"""I can believe whatever I wanna believe, I don't care what any of them have to say.""
Bassem Masri, you are an idiot.",i can believe whatever i wanna believe i don't care what any of them have to say bassem masri you are an idiot,believe wanna believe care bassem masri idiot,True,True,False,False,False,False,False,False,False,False,False,False,1
UggPT9Z38D5yt3gCoAEC,04kJtp6pVXI,Bassem Masri is a terrorist part of isis,bassem masri is a terrorist part of isis,bassem masri terrorist isis,True,False,False,False,False,True,False,False,False,False,True,False,1
UggRCZiMOIRLg3gCoAEC,04kJtp6pVXI,I would'nt waist my time trying to reason with this Police spitting Thug.  Trying to defend Criminal Brown is a losing matter.  The Grand Jury has made they're decision.   Live with it.,i would'nt waist my time trying to reason with this police spitting thug trying to defend criminal brown is a losing matter the grand jury has made they're decision live with it,would'nt waist time try reason police spit thug try defend criminal brown losing matter grand jury decision live,True,True,False,True,False,False,False,False,False,False,False,False,1
UggSYiWItbnmgngCoAEC,04kJtp6pVXI,"I wish mr masri was dead,,",i wish mr masri was dead,wish mr masri dead,True,True,False,False,False,False,False,False,False,False,False,False,1
Uggt6lvUxwS-7XgCoAEC,04kJtp6pVXI,"Thus, with a collapse of the USA, only two possibilities can be considered, whereby, with the one, it boils down to a dictatorship with evil reprisals, while the other possibility may be a new reconstruction, if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start. But whether this will actually occur, is currently extremely questionable, because presently, in a totalitarian manner, everything is directed towards interests which are economic, military, political and cultural – as well as towards that which is strict fundamentalist religious-sectarian – and based on enormous lies and devious, misanthropic, criminal and felonious machinations in every imaginable regard. This also means that the population of the USA is spied upon by the secret services and even severely within the neighbourhoods, and so forth, and, in every possible manner being restricted in its freedom, and this is in addition to the violence, as it emerges in some form or other, both openly and covertly.﻿",thus with a collapse of the usa only two possibilities can be considered whereby with the one it boils down to a dictatorship with evil reprisals while the other possibility may be a new reconstruction if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start but whether this will actually occur is currently extremely questionable because presently in a totalitarian manner everything is directed towards interests which are economic military political and cultural as well as towards that which is strict fundamentalist religious sectarian and based on enormous lies and devious misanthropic criminal and felonious machinations in every imaginable regard this also means that the population of the usa is spied upon by the secret services and even severely within the neighbourhoods and so forth and in every possible manner being restricted in its freedom and this is in addition to the violence as it emerges in some form or other both openly and covertly,collapse usa possibility consider boil dictatorship evil reprisal possibility new reconstruction people fundamentally conscious responsibility attain government bring effective valuable new start actually occur currently extremely questionable presently totalitarian manner direct interest economic military political cultural strict fundamentalist religious sectarian base enormous lie devious misanthropic criminal felonious machination imaginable regard mean population usa spy secret service severely neighbourhood forth possible manner restrict freedom addition violence emerge form openly covertly,False,False,False,False,False,False,False,False,False,False,False,False,0
